Year,Quarter,Electricity,Stationary Energy (excluding electricity),Transport,Fugitive Emissions,Industrial Processes and Product Use,Agriculture,Waste,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,47.5,19.4,19.0,10.2,7.3,19.5,4.0,126.9,18.0,144.9
,2001-12-01,44.3,19.4,19.6,9.6,7.1,19.5,4.0,123.4,18.0,141.4
,2002-03-01,45.4,18.6,18.5,8.9,6.9,19.0,3.9,121.3,17.6,138.8
,2002-06-01,46.8,19.2,18.7,9.8,7.3,19.2,4.0,125.0,17.8,142.8
2002-03,2002-09-01,48.6,19.9,19.6,10.0,7.8,18.2,3.8,127.8,18.4,146.3
,2002-12-01,46.2,19.9,20.3,9.1,7.8,18.2,3.8,125.3,18.4,143.7
,2003-03-01,45.4,19.1,19.1,8.6,7.8,17.8,3.7,121.5,18.0,139.6
,2003-06-01,46.4,19.5,19.3,9.5,7.7,18.0,3.7,124.2,18.2,142.5
2003-04,2003-09-01,49.0,20.4,20.4,10.1,8.3,18.9,3.7,130.6,15.3,145.9
,2003-12-01,46.8,20.3,21.1,9.2,8.3,18.9,3.7,128.3,15.3,143.6
,2004-03-01,50.0,19.4,19.9,8.6,8.1,18.7,3.6,128.3,15.1,143.4
,2004-06-01,49.1,19.9,20.1,9.7,7.9,18.7,3.6,129.1,15.1,144.1
2004-05,2004-09-01,50.9,20.9,20.9,10.2,8.0,19.2,3.6,133.7,20.7,154.4
,2004-12-01,48.2,20.9,21.2,9.6,8.0,19.2,3.6,130.6,20.7,151.4
,2005-03-01,48.8,19.8,19.8,8.9,7.9,18.8,3.5,127.5,20.3,147.8
,2005-06-01,48.9,20.4,20.6,10.0,8.0,19.0,3.6,130.6,20.5,151.1
2005-06,2005-09-01,50.9,20.7,20.7,10.5,8.3,18.7,3.6,133.3,22.2,155.5
,2005-12-01,48.9,20.5,22.0,9.8,8.0,18.7,3.6,131.5,22.2,153.7
,2006-03-01,50.6,19.4,20.6,9.2,7.8,18.3,3.5,129.4,21.7,151.1
,2006-06-01,50.9,20.6,20.6,10.5,8.1,18.5,3.5,132.7,21.9,154.6
2006-07,2006-09-01,52.2,20.6,21.3,11.0,8.6,18.0,3.7,135.2,20.7,155.9
,2006-12-01,50.8,21.0,22.1,10.3,8.7,18.0,3.7,134.6,20.7,155.3
,2007-03-01,51.6,19.7,21.2,9.7,8.5,17.6,3.6,132.0,20.2,152.3
,2007-06-01,49.5,20.6,21.5,11.1,8.7,17.8,3.6,132.7,20.5,153.2
2007-08,2007-09-01,53.5,21.4,21.8,11.8,8.9,17.1,3.8,138.2,12.6,150.8
,2007-12-01,50.3,21.3,22.3,9.9,8.8,17.1,3.8,133.5,12.6,146.1
,2008-03-01,51.7,20.3,21.4,9.9,8.7,16.9,3.7,132.5,12.5,145.0
,2008-06-01,50.5,21.4,21.8,10.6,8.8,16.9,3.7,133.7,12.5,146.2
2008-09,2008-09-01,55.4,22.2,22.2,10.7,9.4,17.2,3.8,141.0,9.1,150.1
,2008-12-01,52.3,21.7,22.7,10.8,8.7,17.2,3.8,137.2,9.1,146.3
,2009-03-01,52.5,19.5,21.3,9.6,7.3,16.9,3.7,130.6,8.9,139.5
,2009-06-01,51.5,20.6,21.6,11.3,7.6,17.1,3.7,133.3,9.0,142.3
2009-10,2009-09-01,51.4,20.9,22.5,11.3,8.8,16.7,3.8,135.5,5.7,141.2
,2009-12-01,51.3,21.3,23.0,10.4,9.2,16.7,3.8,135.7,5.7,141.5
,2010-03-01,52.5,20.6,21.5,10.0,9.3,16.4,3.8,134.0,5.6,139.6
,2010-06-01,49.9,21.4,22.2,10.9,9.2,16.6,3.8,133.9,5.7,139.6
2010-11,2010-09-01,51.0,22.0,22.9,11.6,9.4,17.9,3.7,138.5,2.5,141.0
,2010-12-01,47.1,21.6,23.8,10.8,9.5,17.9,3.7,134.4,2.5,136.9
,2011-03-01,50.7,20.1,22.2,9.0,9.2,17.5,3.6,132.4,2.4,134.8
,2011-06-01,49.7,21.6,22.9,10.3,9.2,17.7,3.7,135.1,2.5,137.6
2011-12,2011-09-01,50.9,23.2,22.7,10.8,9.6,18.2,3.3,138.6,-4.8,133.9
,2011-12-01,49.2,22.7,23.1,10.5,8.6,18.2,3.3,135.5,-4.8,130.8
,2012-03-01,50.3,21.4,23.2,9.7,8.5,18.0,3.2,134.4,-4.7,129.7
,2012-06-01,48.7,22.1,23.6,11.1,8.4,18.0,3.2,135.1,-4.7,130.3
2012-13,2012-09-01,47.0,24.0,23.4,11.1,8.4,18.3,3.1,135.3,-4.8,130.5
,2012-12-01,45.9,23.9,24.1,10.7,8.4,18.3,3.1,134.3,-4.8,129.4
,2013-03-01,47.6,22.2,22.4,9.8,8.1,17.9,3.0,131.0,-4.7,126.2
,2013-06-01,46.6,23.2,23.0,10.7,8.2,18.1,3.0,132.8,-4.8,128.0
2013-14,2013-09-01,45.0,23.9,23.6,10.4,8.3,18.3,3.1,132.7,-1.6,131.1
,2013-12-01,44.0,23.8,24.1,10.3,8.3,18.3,3.1,131.9,-1.6,130.3
,2014-03-01,47.2,22.5,22.9,10.1,7.9,17.9,3.0,131.6,-1.6,130.1
,2014-06-01,44.5,23.6,23.4,10.2,8.1,18.1,3.1,131.1,-1.6,129.5
2014-15,2014-09-01,47.5,23.5,24.2,12.5,8.6,17.7,3.0,136.9,-5.1,131.7
,2014-12-01,46.4,23.0,24.7,11.1,8.6,17.7,3.0,134.3,-5.1,129.2
,2015-03-01,47.9,21.9,23.5,10.5,8.3,17.3,2.9,132.3,-5.0,127.3
,2015-06-01,47.2,22.7,23.8,11.7,8.4,17.5,2.9,134.1,-5.1,129.0
2015-16,2015-09-01,49.3,23.4,24.4,12.6,8.7,17.4,3.1,138.8,-6.1,132.7
,2015-12-01,48.0,23.3,24.8,12.0,8.7,17.4,3.1,137.3,-6.1,131.2
,2016-03-01,49.9,22.3,24.3,12.2,8.4,17.2,3.1,137.3,-6.0,131.3
,2016-06-01,47.5,23.3,24.1,12.3,8.4,17.2,3.1,135.8,-6.0,129.8
2016-17,2016-09-01,48.2,24.0,24.6,12.8,9.0,18.5,3.2,140.3,-5.4,134.9
,2016-12-01,44.9,24.1,25.9,12.7,8.9,18.5,3.2,138.1,-5.4,132.7
,2017-03-01,49.0,22.5,23.9,12.5,8.6,18.1,3.1,137.8,-5.3,132.5
,2017-06-01,45.5,24.2,24.7,14.0,8.8,18.3,3.1,138.6,-5.4,133.2
2017-18,2017-09-01,45.6,24.9,25.3,14.6,9.1,18.6,3.2,141.3,-6.0,135.3
,2017-12-01,44.1,25.0,25.7,14.7,9.2,18.6,3.2,140.4,-6.0,134.4
,2018-03-01,46.2,24.1,25.0,14.1,9.0,18.2,3.1,139.7,-5.9,133.8
,2018-06-01,,,,,,,,,,
