Year,Quarter,Electricity,Stationary Energy (excluding electricity),Transport,Fugitive Emissions,Industrial Processes and Product Use,Agriculture,Waste,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,47.5,19.3,18.9,9.8,7.3,19.5,4.0,126.3,13.8,140.0
,2001-12-01,44.3,19.4,19.6,9.2,7.1,19.5,4.0,122.9,13.8,136.7
,2002-03-01,45.4,18.6,18.5,8.6,7.0,19.0,3.9,120.9,19.1,140.0
,2002-06-01,46.8,19.2,18.7,9.5,7.3,19.2,3.9,124.6,19.3,143.9
2002-03,2002-09-01,48.6,19.8,19.4,9.5,7.8,18.2,3.7,126.9,19.5,146.4
,2002-12-01,46.2,19.8,20.0,8.7,7.9,18.2,3.7,124.4,19.5,143.9
,2003-03-01,45.4,19.0,18.9,8.1,7.8,17.8,3.6,120.6,14.4,135.0
,2003-06-01,46.4,19.4,19.1,9.0,7.7,18.0,3.6,123.2,14.6,137.8
2003-04,2003-09-01,48.9,20.3,20.1,9.3,8.3,18.9,3.6,129.4,14.7,144.1
,2003-12-01,46.8,20.2,20.8,8.6,8.4,18.9,3.6,127.1,14.7,141.8
,2004-03-01,49.9,19.2,19.6,8.1,8.1,18.7,3.5,127.2,14.6,141.7
,2004-06-01,49.0,19.8,19.8,9.1,8.0,18.7,3.5,127.9,14.6,142.5
2004-05,2004-09-01,50.9,20.8,20.7,9.6,8.0,19.1,3.6,132.7,14.8,147.4
,2004-12-01,48.2,20.8,21.0,9.1,8.0,19.1,3.6,129.6,14.8,144.4
,2005-03-01,48.8,19.8,19.6,8.4,7.9,18.7,3.5,126.7,20.3,147.0
,2005-06-01,48.9,20.5,20.4,9.5,8.1,18.9,3.5,129.9,20.5,150.4
2005-06,2005-09-01,50.9,20.6,20.3,9.8,8.3,18.7,3.5,132.0,20.7,152.8
,2005-12-01,48.9,20.4,21.5,9.2,8.1,18.7,3.5,130.3,20.7,151.1
,2006-03-01,50.6,19.4,20.3,8.6,7.9,18.3,3.4,128.5,22.2,150.6
,2006-06-01,50.9,20.6,20.3,9.8,8.1,18.5,3.5,131.7,22.4,154.1
2006-07,2006-09-01,52.2,20.5,21.0,10.4,8.6,17.8,3.6,134.1,22.7,156.7
,2006-12-01,50.8,20.9,21.8,9.8,8.7,17.8,3.6,133.4,22.7,156.0
,2007-03-01,51.6,19.7,20.9,9.2,8.5,17.4,3.5,130.9,12.9,143.8
,2007-06-01,49.5,20.5,21.2,10.6,8.6,17.6,3.5,131.5,13.0,144.5
2007-08,2007-09-01,53.5,21.2,21.6,11.2,8.7,17.1,3.7,137.0,13.1,150.1
,2007-12-01,50.3,21.2,22.2,9.3,8.6,17.1,3.7,132.4,13.1,145.5
,2008-03-01,51.7,20.3,21.2,9.3,8.5,16.9,3.6,131.6,12.7,144.3
,2008-06-01,50.5,21.4,21.7,10.1,8.7,16.9,3.6,132.8,12.7,145.5
2008-09,2008-09-01,55.4,22.2,22.0,10.0,9.2,17.3,3.7,139.9,12.9,152.8
,2008-12-01,52.3,21.8,22.5,10.1,8.6,17.3,3.7,136.2,12.9,149.1
,2009-03-01,52.5,19.5,21.1,8.9,7.2,16.9,3.6,129.6,13.6,143.2
,2009-06-01,51.5,20.7,21.4,10.5,7.4,17.1,3.6,132.2,13.8,146.0
2009-10,2009-09-01,51.4,20.8,22.4,10.2,8.6,16.8,3.8,133.9,13.9,147.8
,2009-12-01,51.3,21.1,22.9,9.4,8.9,16.8,3.8,134.1,13.9,148.0
,2010-03-01,52.5,20.6,21.5,9.4,9.0,16.4,3.7,133.1,5.5,138.6
,2010-06-01,49.9,21.4,22.1,10.2,9.0,16.6,3.7,132.9,5.6,138.4
2010-11,2010-09-01,51.0,21.9,22.6,10.6,9.1,17.8,3.6,136.6,5.6,142.2
,2010-12-01,47.1,21.5,23.6,9.9,9.2,17.8,3.6,132.6,5.6,138.2
,2011-03-01,50.7,20.1,22.3,8.2,8.9,17.4,3.5,131.1,1.2,132.3
,2011-06-01,49.7,21.6,23.0,9.4,8.8,17.6,3.6,133.7,1.2,134.9
2011-12,2011-09-01,50.9,23.2,22.9,9.9,9.3,18.1,3.2,137.6,1.2,138.8
,2011-12-01,49.2,22.6,23.4,9.7,8.3,18.1,3.2,134.5,1.2,135.7
,2012-03-01,50.3,21.2,22.7,8.9,8.2,17.9,3.1,132.5,3.3,135.8
,2012-06-01,48.7,21.7,23.1,10.2,8.1,17.9,3.1,132.8,3.3,136.1
2012-13,2012-09-01,47.0,23.9,23.0,10.2,8.4,18.3,3.0,133.7,3.4,137.1
,2012-12-01,45.9,23.5,23.8,9.8,8.1,18.3,3.0,132.4,3.4,135.8
,2013-03-01,47.6,21.9,22.2,9.0,8.0,17.9,2.9,129.5,1.7,131.1
,2013-06-01,46.6,22.8,22.9,9.9,8.0,18.1,3.0,131.2,1.7,132.9
2013-14,2013-09-01,45.0,23.9,23.4,9.7,8.2,18.2,3.0,131.4,1.7,133.1
,2013-12-01,44.0,23.9,23.9,9.7,8.2,18.2,3.0,130.9,1.7,132.6
,2014-03-01,47.2,22.5,22.6,9.4,7.9,17.8,3.0,130.5,0.2,130.7
,2014-06-01,44.5,23.5,23.0,9.4,8.1,18.0,3.0,129.6,0.2,129.8
2014-15,2014-09-01,47.1,24.5,23.3,11.4,8.4,17.5,3.0,135.3,0.2,135.5
,2014-12-01,45.8,24.0,24.1,10.2,8.4,17.5,3.0,132.9,0.2,133.2
,2015-03-01,47.5,22.7,22.7,9.5,8.1,17.2,3.0,130.6,0.1,130.7
,2015-06-01,46.5,23.4,23.0,10.4,8.2,17.3,3.0,131.8,0.1,131.9
2015-16,2015-09-01,47.7,24.9,23.6,10.8,8.7,17.1,3.0,135.9,0.1,135.9
,2015-12-01,46.5,24.7,24.0,10.3,8.6,17.1,3.0,134.2,0.1,134.3
,2016-03-01,48.2,23.6,23.0,10.4,8.4,17.0,3.0,133.5,0.6,134.1
,2016-06-01,,,,,,,,,,
